language,problem_number,suggestion,test_case,output,message
en,05,9.py,01,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'ebsyvvcnur'
"
en,05,9.py,02,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'ijmvhzjrua'
"
en,05,9.py,03,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'pandulkaof'
"
en,05,9.py,04,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'hktkegdqho'
"
en,05,9.py,05,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'agktqycrxyn'
"
en,05,9.py,06,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'fuhmiscvox'
"
en,05,9.py,07,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'zseotwcnsh'
"
en,05,9.py,08,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'paxxsjbmjd'
"
en,05,9.py,09,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'xhaxmkssyq'
"
en,05,9.py,10,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'izwqnxpsyf'
"
en,05,9.py,11,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'sfdseainkh'
"
en,05,9.py,12,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'fxepojcjqz'
"
en,05,9.py,13,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'pzgalbvqrm'
"
en,05,9.py,14,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'tecvgkkgxo'
"
en,05,9.py,15,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'wtdsvjnsdl'
"
en,05,9.py,sample_01,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'a'
"
en,05,9.py,sample_02,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'cac'
"
en,05,9.py,sample_03,"1[c, a, c]2[z, a, ]3[z, a, , a]3[z, a, , a, c]4[z, a, , a, c, d]5[z, a, , a, c, d, e]6[z, a, , a, c, d, e, f]7[z, a, , a, c, d, e, f, g]8[z, a, , a, c, d, e, f, g, h]9[z, a, , a, c, d, e, f, g, h, i]10[z, a, , a, c, d, e, f, g, h, i, j]11[z, a, , a, c, d, e, f, g, h, i, j, k]12[z, a, , a, c, d, e, f, g, h, i, j, k, l]13[z, a, , a, c, d, e, f, g, h, i, j, k, l, m]14[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n]15[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o]16[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p]17[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q]18[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r]19[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s]20[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t]21[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u]22[z, a, , a, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v]23","Traceback (most recent call last):
  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/9.py"", line 49, in <module>
    s = int(input())
ValueError: invalid literal for int() with base 10: 'zab'
"
